# CSV-File created with merge-csv.com
# -----------------------------------------------------------

State/UT,2018,2019,2020
Andhra Pradesh,1207,1886,1899
Arunachal Pradesh,7,8,30
Assam,2022,2231,3530
Bihar,374,1050,1512
Chhattisgarh,139,175,297
Goa,29,15,40
Gujarat,702,784,1283
Haryana,418,564,656
Himachal Pradesh,69,76,98
Jharkhand,930,1095,1204
Karnataka,5839,12020,10741
Kerala,340,307,426
Madhya Pradesh,740,602,699
Maharashtra,3511,4967,5496
Manipur,29,4,79
Meghalaya,74,89,142
Mizoram,6,8,13
Nagaland,2,2,8
Odisha,843,1485,1931
Punjab,239,243,378
Rajasthan,1104,1762,1354
Sikkim,1,2,0
Tamil Nadu,295,385,782
Telangana,1205,2691,5024
Tripura,20,20,34
Uttar Pradesh,6280,11416,11097
Uttarakhand,171,100,243
West Bengal,335,524,712
A&N Islands,7,2,5
Chandigarh,30,23,17
D&N Haveli and,0,0,0
Daman & Diu,0,3,3
Delhi,189,115,168
Jammu & Kashmir,73,73,120
Ladakh ,0,0,1
Lakshadweep,4,4,3
Puducherry,14,4,10
Andhra Pradesh,282,536,616,931
Arunachal Pradesh,18,6,4,1
Assam,379,483,696,1120
Bihar,114,242,309,433
Chhattisgarh,123,103,90,171
Goa,62,17,31,13
Gujarat,227,242,362,458
Haryana,151,224,401,504
Himachal Pradesh,38,50,31,56
Jammu & Kashmir,37,34,28,63
Jharkhand,93,180,259,720
Karnataka,1020,1447,1101,3174
Kerala,450,290,283,320
Madhya Pradesh,289,231,258,490
Maharashtra,1879,2195,2380,3604
Manipur,13,6,11,74
Meghalaya,60,56,39,39
Mizoram,22,8,1,10
Nagaland,0,0,2,0
Odisha,124,386,317,824
Punjab,226,149,102,176
Rajasthan,697,949,941,1304
Sikkim,4,1,1,1
Tamil Nadu,172,142,144,228
Telangana,703,687,593,1209
Tripura,5,13,8,7
Uttar Pradesh,1737,2208,2639,4971
Uttarakhand,42,48,62,124
West Bengal,355,398,478,568
A & N Islands,13,6,3,3
Chandigarh,55,77,26,32
D&N Haveli,3,0,1,1
Daman & Diu,1,1,0,0
Delhi UT,226,177,98,162
Lakshadweep,1,0,0,0
Puducherry,1,0,2,5
ANDHRA PRADESH,8,253,3,218,8,93,14,68,14,68,16,53,25,78,30,8,105,66,349,23,635,16,635,16
ARUNACHAL PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,13,1,10,0,10,0
ASSAM,2,0,0,0,0,0,1,0,1,0,0,0,1,1,2,2,18,0,31,0,154,0,154,0
BIHAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25,13,23,116,23,116
CHHATTISGARH,0,0,0,0,0,0,18,28,0,28,5,52,1,19,4,46,4,46,2,76,91,10,91,10
GOA,4,4,2,0,0,0,0,0,0,0,3,1,6,0,8,4,15,1,16,2,57,1,57,1
GUJARAT,1,249,14,15,2,124,2,153,5,153,1,2,17,16,20,16,35,20,52,15,61,16,61,16
HARYANA,2,0,0,1,0,0,8,1,1,1,0,1,0,0,0,0,1,0,42,3,112,211,112,211
HIMACHAL PRADESH,0,99,0,87,0,0,0,0,0,0,0,0,6,0,6,0,17,0,12,0,24,4,24,4
JAMMU & KASHMIR,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,14,0,46,0,46,0
JHARKHAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,13,13,13,13
KARNATAKA,15,0,7,1,14,0,38,0,27,0,40,1,57,0,97,0,153,23,151,9,513,20,513,20
KERALA,3,1,1,0,2,0,3,0,12,0,38,0,65,2,64,7,148,8,227,18,349,34,349,34
MADHYA PRADESH,0,0,0,0,0,0,0,0,5,0,6,158,9,2,16,1,30,5,90,13,282,60,282,60
MAHARASHTRA,12,1,12,5,17,4,26,1,35,1,49,1,37,2,53,108,142,104,306,87,681,226,681,226
MANIPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
MEGHALAYA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,17,0,17,0
MIZORAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0
NAGALAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORISSA,4,0,1,4,1,0,6,0,0,0,0,2,3,12,2,11,7,5,7,5,65,39,65,39
PUNJAB,3,26,2,61,2,4,7,43,12,43,14,35,11,36,28,28,41,27,59,20,146,10,146,10
RAJASTHAN,0,0,0,0,0,0,18,0,4,0,16,0,4,0,27,1,52,3,122,24,239,58,239,58
SIKKIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
TAMIL NADU,3,0,10,0,14,36,22,0,8,0,10,5,21,4,18,19,52,25,37,8,54,36,54,36
TRIPURA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0
UTTAR PRADESH,5,81,2,3,2,3,4,0,0,0,5,0,2,0,14,3,32,9,101,13,372,310,372,310
UTTARANCHAL,0,0,1,0,0,0,0,0,3,0,1,0,2,0,7,0,10,1,6,0,23,4,23,4
WEST BENGAL,0,0,0,0,0,0,0,0,6,0,2,2,0,2,13,10,49,11,43,14,210,132,210,132
A & N ISLANDS,0,15,0,16,0,5,0,0,0,0,0,11,0,1,0,0,0,0,0,0,18,0,18,0
CHANDIGARH,2,0,1,0,1,0,2,0,2,0,1,0,8,1,4,0,3,0,10,0,9,2,9,2
D & N HAVELI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
DAMAN & DIU,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
DELHI,5,2,4,0,4,10,10,8,5,8,10,15,12,0,5,12,41,0,50,49,131,19,131,19
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PONDICHERRY,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,5,0,5,0
